@id,@lon,@lat,amenity,name,cuisine,opening_hours,takeaway,delivery,payment,phone,website
309894643,21.4315704,41.9953933,restaurant,Пелистер,italian,Mo-Th 07:00-00:00; Fr-Sa 07:00-01:00; Su 10:30-00:00,,,,,https://www.pelisterhotel.com.mk/
310289760,21.4167030,42.0001541,cafe,Broz Cafe,,,,,,,
382645252,22.0215553,41.4347276,restaurant,Brioni,,,,,,,
382645390,22.0204395,41.4344573,restaurant,,,,,,,,
382650535,22.0110153,41.4372049,cafe,Total,,,,,,,
382650733,22.0110601,41.4370270,cafe,Roma,,,,,,,
386703438,22.0131384,41.4352466,cafe,Blue Cafe,,,,,,,
386704854,22.0104295,41.4398268,cafe,Picaso,,,,,,,
386705447,22.0115107,41.4412063,restaurant,Ramazzoti,,,,,,,
386705584,22.0096102,41.4410295,restaurant,Exclusive,,,,,,,
393755446,22.7220346,41.1844141,restaurant,Фук Так,fish;grill,,,,,,
411006922,21.4140669,41.9947432,restaurant,Интермецо,,,,,,,
411008299,21.4232268,41.9948867,cafe,Benneton,,,,,,,
411008532,21.4230113,41.9948604,cafe,AMG,,,,,,,
411009859,21.4253358,41.9955693,cafe,Strip,,,,,,,
411634092,21.2485747,41.3681010,restaurant,Скар,italian_pizza;regional;balkan,,,,,,
411634094,21.2486257,41.3681312,restaurant,Бенетон,,,,,,,
411634097,21.2483529,41.3679722,cafe,Олд Скул,,,,,,,
414619170,21.2151321,41.5065603,restaurant,Cardak,chicken;diner;regional;pancake;sausage;coffee_shop;ice_cream;balkan;mediterranean;burger;fish;breakfast;grill,Mo-Su 08:00-02:00,,,,+38978420959,
414619172,21.2177087,41.5075223,restaurant,Lisec,,,,,,,
414619173,21.2168806,41.5069813,cafe,First,,,,,,,
414619174,21.2163903,41.5067247,cafe,Кафе Бар Ш,,,,,,,
414620827,21.2165604,41.5133537,cafe,Kardinal,,,,,,,
419115353,21.2442677,41.5410660,restaurant,Пешна,fish,,,,,,www.pesnamotel.com.mk
419829216,22.0111128,41.4412564,restaurant,Kico,,,,,,,
419829221,22.0135418,41.4407867,restaurant,Riben restorant,,,,,,,
419829868,22.0116142,41.4331716,restaurant,Aleksandrija,regional,,,,,,
423804306,21.2160292,41.5081589,restaurant,Kaj Mame,,,,,,,
427013440,22.0121336,41.4411582,restaurant,Spandja,,,,,,,
429175192,21.4438183,41.9768256,restaurant,Журнал,,,,,,,
441057694,21.4082395,42.0051454,cafe,Cafeteria,,,,,,,
442545329,22.4125757,41.9153534,restaurant,Пролет,,,,,,,
444360934,22.4062744,41.9596507,restaurant,Градче,regional,,,,,,
444537208,22.4105571,41.9173917,cafe,Класик,,,,,,,
444537212,22.4107281,41.9176649,cafe,Delikates Cafe,,,,,,,
444695321,22.4079546,41.9562370,restaurant,,,,,,,,
444695322,22.4072357,41.9639856,restaurant,,,,,,,,
444695367,22.6230389,41.8339517,restaurant,Ribnik Blatec,,,,,,,
444695368,22.6240690,41.8335250,restaurant,,,,,,,,
445422613,21.4871217,42.0072516,restaurant,Hunter’s Lodge “Kamnik”,steak_house,,,,,,http://www.kamnik.com.mk/
459666031,21.4139237,42.0069784,cafe,,,,,,,,
459668143,21.4307036,42.0047876,restaurant,Под Кале,,,,,,,
459668914,21.4342799,41.9943261,restaurant,Кај Џино,italian,Mo 08:00-24:00  Tu We Fr Sa 09:00-24:00  Th 09:00-23:00  Su 09:00-01:00,,,,+389 2 3121109,http://www.restorangino.mk/
459669063,21.4350117,41.9952456,restaurant,Плаза де Торос,latin_american,,,,,,
